"","logFC","AveExpr","t","P.Value","adj.P.Val","B","X","UNIPROT"
"Q15907",1.12005967594501,24.4316392441417,7.43902690346046,0.000383581289329059,0.00191525044588102,0.45635948838876,"Q15907","Q15907"
"Q16719",-2.20395572507951,22.0826146840445,-7.43445371986999,0.000384819373652768,0.00191525044588102,0.452772538099007,"Q16719","Q16719"
"O94832;B0I1T2",-3.48002129947838,22.8405278673593,-7.39732598051669,0.000395044271078798,0.00195490479288137,0.423579076276894,"O94832;B0I1T2","O94832"
"O00299",1.2744031733353,27.7594272392307,7.36624920416691,0.00040384557816188,0.00198594759810425,0.399043739306778,"O00299","O00299"
"P59998",-1.41307703490424,24.514136867829,-7.35909489078337,0.000405903839335394,0.00198594759810425,0.393382429107842,"P59998","P59998"
"O60488;O95573",4.21741962440244,23.1315711975891,7.33492885646335,0.000412946791441529,0.00200905573813688,0.374223589818203,"O60488;O95573","O60488"
"P51858",-2.96432893271723,22.2641662183091,-7.25856883272529,0.00043615058808435,0.00211009167196116,0.313318753516541,"P51858","P51858"
"P08758",2.53548896358091,27.4653350432528,7.17104132718663,0.000464630600105515,0.00223538944272986,0.242813832517538,"P08758","P08758"
"P35625",2.8728768009745,22.4866571357216,7.12258036557481,0.000481323853691735,0.00230290860385107,0.203455251774942,"P35625","P35625"
"Q8NG11",-1.51411788103294,24.0591172446772,-7.09380670093235,0.000491564043820073,0.00233898056015485,0.17997629838657,"Q8NG11","Q8NG11"
"Q15286",-1.04325051831247,24.3600632598104,-7.07974405103532,0.000496660463239034,0.00235031672767761,0.168471416837652,"Q15286","Q15286"
"P07996",4.9682067343046,22.806470926056,7.05598434146014,0.000505410920977127,0.00237872748677278,0.148988378150112,"P07996","P07996"
"Q9Y5J5",-1.79905069725875,22.5481620745868,-7.03163551845808,0.000514564179667175,0.00240871664644202,0.128963600743528,"Q9Y5J5","Q9Y5J5"
"P01889",1.82779942861585,25.2415246748218,6.98288355654565,0.000533474472673015,0.00248381125448834,0.0886898466651997,"P01889","P01889"
"P68363;Q9H853",1.19069343476805,27.5214463614944,6.88925325977486,0.000572096575379966,0.00264938841860455,0.0106639201280956,"P68363;Q9H853","P68363"
